================================================================================
  STA TOP-LEVEL DUMP LOG  —  PD_STA_REPORTS
================================================================================

  Root Directory   : D:\Certificates\PD_STA_REPORTS
  Parsed At        : 2026-08-15T22:10:33
  Total Blocks     : 57
  Total Reports    : 1007


AGGREGATE SUMMARY
----------------------------------------
  Overall Status   : VIOLATED
  Worst WNS  (ns)  : -0.231
  Worst TNS  (ns)  : -6.788
  Worst WHS  (ns)  : -0.041
  Total Violations : 9

BY PIPELINE STAGE
----------------------------------------
  Stage                   Owner            #       WNS       TNS       WHS  STATUS
  ──────────────────────  ────────────  ────  ────────  ────────  ────────  ──────────
  CACHE                   MTO_User9        5    -0.145    -3.340     0.000  VIOLATED
  COMMIT                  MTO_User8        4     0.000     0.000     0.000  MET
  DECODE                  MTO_User2        5    -0.089    -0.876     0.000  VIOLATED
  EXECUTE                 MTO_User5       13    -0.198    -3.760     0.000  VIOLATED
  FETCH                   MTO_User1        7    -0.048    -0.468     0.000  VIOLATED
  ISSUE                   MTO_User4        4     0.000     0.000    -0.041  VIOLATED
  MEMORY                  MTO_User6        6    -0.063    -0.628     0.000  VIOLATED
  RENAME_DISPATCH         MTO_User3        4     0.000     0.000    -0.033  VIOLATED
  UNCORE                  MTO_User10       6     0.000     0.000     0.000  MET
  WRITEBACK               MTO_User7        3    -0.231    -6.788     0.000  VIOLATED

BY CORNER
----------------------------------------
  Name                                              #       WNS       TNS       WHS  STATUS
  ─────────────────────────────────────────────  ────  ────────  ────────  ────────  ──────────
  N/A                                              57     0.000     0.000     0.000  MET
  ff_1p16v_1p16v_125c                              76     0.018     0.000    -0.041  VIOLATED
  ff_1p16v_1p16v_n40c                             133     0.031     0.000    -0.033  VIOLATED
  ff_1p32v_1p32v_n40c                              19     1.048     0.000     0.000  MET
  lvss_0p63v_0p63v_125c                             1    -0.231    -6.788     0.076  VIOLATED
  ss_0p63v_0p63v_125c                              56     1.045     0.000     0.061  MET
  ss_0p63v_0p63v_n40c                              19     1.045     0.000     0.000  MET
  ss_0p72v_0p72v_125c                             247    -0.145    -3.340     0.000  VIOLATED
  ss_0p72v_0p72v_m40c                               1    -0.198    -3.760     0.071  VIOLATED
  ss_0p72v_0p72v_n40c                              56     1.030     0.000     0.061  MET
  tt_0p90v_0p90v_25c                              304    -0.063    -0.628     0.000  VIOLATED
  tt_0p90v_0p90v_85c                               38     1.044     0.000     0.000  MET

BY CHECK TYPE
----------------------------------------
  Name                                              #       WNS       TNS       WHS  STATUS
  ─────────────────────────────────────────────  ────  ────────  ────────  ────────  ──────────
  N/A                                              57     0.000     0.000     0.000  MET
  hold                                            323     0.018     0.000    -0.041  VIOLATED
  setup                                           627    -0.231    -6.788     0.000  VIOLATED

PER-BLOCK SUMMARY
----------------------------------------
  Block                                          Design                  Rpts       WNS       TNS       WHS  STATUS      Owner
  FETCH\BPU\BTB                                  BTB_TOP                   11     0.000     0.000     0.000  MET         User5
  FETCH\BPU\PHT                                  PHT_TOP                   11     0.000     0.000     0.000  MET         User6
  FETCH\BPU\RAS                                  RAS_TOP                   11     0.000     0.000     0.000  MET         User7
  FETCH\FETCH_QUEUE                              FETCH_QUEUE_TOP           11     0.000     0.000     0.000  MET         User4
  FETCH\ICACHE                                   ICACHE_TOP                11    -0.048    -0.468     0.000  VIOLATED    User2
  FETCH\ITLB                                     ITLB_TOP                  11     0.000     0.000     0.000  MET         User3
  FETCH\PC                                       PC_TOP                    11     0.000     0.000     0.000  MET         User1
  ISSUE\IQ_FP                                    IQ_FP_TOP                 11     0.000     0.000     0.000  MET         User17
  ISSUE\IQ_INT                                   IQ_INT_TOP                11     0.000     0.000    -0.041  VIOLATED    User18
  ISSUE\IQ_LSU                                   IQ_LSU_TOP                11     0.000     0.000     0.000  MET         User19
  ISSUE\WAKEUP_SELECT                            WAKEUP_SELECT_TOP         11     0.000     0.000     0.000  MET         User20
  MEMORY\DCACHE                                  DCACHE_TOP                31     0.000     0.000     0.000  MET         User34
  MEMORY\DTLB                                    DTLB_TOP                  31     0.000     0.000     0.000  MET         User35
  MEMORY\LDQ                                     LDQ_TOP                   31     0.000     0.000     0.000  MET         User36
  MEMORY\MOB                                     MOB_TOP                   31     0.000     0.000     0.000  MET         User37
  MEMORY\MSHR                                    MSHR_TOP                  31    -0.063    -0.628     0.000  VIOLATED    User38
  MEMORY\STQ                                     STQ_TOP                   31     0.000     0.000     0.000  MET         User39
  RENAME_DISPATCH\DISPATCH_QUEUE                 DISPATCH_QUEUE_TOP        31     0.000     0.000     0.000  MET         User13
  RENAME_DISPATCH\FREE_LIST                      FREE_LIST_TOP             31     0.000     0.000     0.000  MET         User14
  RENAME_DISPATCH\RAT                            RAT_TOP                   31     0.000     0.000     0.000  MET         User15
  RENAME_DISPATCH\ROB                            ROB_TOP                   31     0.000     0.000    -0.033  VIOLATED    User16
  UNCORE\BIU                                     BIU_TOP                   31     0.000     0.000     0.000  MET         User52
  UNCORE\CLOCK_DOMAIN                            CLOCK_DOMAIN_TOP          31     0.000     0.000     0.000  MET         User53
  UNCORE\DEBUG_UNIT                              DEBUG_UNIT_TOP            31     0.000     0.000     0.000  MET         User54
  UNCORE\INTERRUPT_CONTROLLER                    INT_CTRL_TOP              31     0.000     0.000     0.000  MET         User55
  UNCORE\MEMORY_CONTROLLER                       MC_TOP                    31     0.000     0.000     0.000  MET         User56
  UNCORE\PMU                                     PMU_TOP                   31     0.000     0.000     0.000  MET         User57
  WRITEBACK\PRF\FP_RF                            FP_RF_TOP                 31     0.000     0.000     0.000  MET         User40
  WRITEBACK\PRF\INT_RF                           INT_RF_TOP                31    -0.231    -6.788     0.000  VIOLATED    User41
  WRITEBACK\RESULT_BROADCAST_BUS                 RESULT_BUS_TOP            31     0.000     0.000     0.000  MET         User42

================================================================================
END OF TOP-LEVEL DUMP LOG
================================================================================
